,V1,V2,V3,V4
ERR2851840Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C9,Pre,Hyp_CS3,1
ERR2851841Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C10,Pre,Hyp_CS3,1
ERR2851842Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C11,Pre,Hyp_CS3,1
ERR2851843Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C12,Pre,Epi_CS3,1
ERR2851844Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C13,Pre,Hyp_CS3,1
ERR2851845Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C14,Pre,Hyp_CS3,1
ERR2851846Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C15,Pre,Hyp_CS3,1
ERR2851847Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C16,Pre,Epi_CS3,1
ERR2851848Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C17,Pre,Hyp_CS3,1
ERR2851849Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C18,Pre,Epi_CS3,1
ERR2851850Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C19,Pre,Epi_CS3,1
ERR2851851Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C20,Pre,Hyp_CS3,1
ERR2851852Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C21,Pre,Hyp_CS3,1
ERR2851853Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C22,Pre,Epi_CS3,1
ERR2851854Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C23,Pre,Epi_CS3,1
ERR2851855Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C24,Pre,Hyp_CS3,1
ERR2851856Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C25,Pre,Hyp_CS3,1
ERR2851857Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C26,Pre,Hyp_CS3,1
ERR2851858Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C27,Pre,Hyp_CS3,1
ERR2851859Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C28,Pre,Epi_CS3,1
ERR2851860Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C29,Pre,Hyp_CS3,1
ERR2851861Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C30,Pre,Epi_CS3,1
ERR2851862Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C31,Pre,Hyp_CS3,1
ERR2851863Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C32,Pre,Epi_CS3,1
ERR2851864Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C33,Pre,Hyp_CS3,1
ERR2851865Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C34,Pre,Hyp_CS3,1
ERR2851866Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C35,Pre,Hyp_CS3,1
ERR2851867Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C36,Pre,Epi_CS3,1
ERR2851868Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C37,Pre,Epi_CS3,1
ERR2851869Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C38,Pre,Hyp_CS3,1
ERR2851870Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C39,Pre,Hyp_CS3,1
ERR2851871Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_2_C40,Pre,Hyp_CS3,1
ERR2851872Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_4_C1,Pre,Hyp_CS3,1
ERR2851873Aligned.sortedByCoord.out.bam,E-MTAB-7078:LateICM_4_C2,Pre,Hyp_CS3,1
