"","marmoset_dataInVivo$LOC"
"ERR2851878Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C7"
"ERR2851879Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C8"
"ERR2851880Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C9"
"ERR2851881Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C10"
"ERR2851882Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C11"
"ERR2851883Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C12"
"ERR2851884Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C13"
"ERR2851885Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C14"
"ERR2851886Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C15"
"ERR2851887Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C16"
"ERR2851888Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C17"
"ERR2851889Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C18"
"ERR2851890Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C19"
"ERR2851891Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C20"
"ERR2851892Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C21"
"ERR2851893Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C22"
"ERR2851894Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C23"
"ERR2851895Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C24"
"ERR2851896Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C25"
"ERR2851897Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C26"
"ERR2851898Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C27"
"ERR2851899Aligned.sortedByCoord.out.bam","E-MTAB-7078:LateICM_4_C28"
